trial_id,method,step,r_squared,entropy,violations,tq
13,epistemic,2,0.480891,0.519109,0,1.0000
13,epistemic,3,0.552131,0.447869,0,1.0000
13,epistemic,4,0.617369,0.382631,0,1.0000
13,epistemic,5,0.616342,0.383658,0,1.0000
13,epistemic,6,0.644445,0.355555,0,1.0000
13,epistemic,7,0.646126,0.353874,0,0.4865
14,epistemic,0,0.275081,0.724919,0,1.0000
14,epistemic,1,0.351496,0.648504,0,1.0000
14,epistemic,2,0.470708,0.529292,0,1.0000
14,epistemic,3,0.500698,0.499302,0,1.0000
14,epistemic,4,0.586602,0.413398,0,1.0000
14,epistemic,5,0.585004,0.414996,0,1.0000
14,epistemic,6,0.609515,0.390485,0,1.0000
14,epistemic,7,0.606483,0.393517,0,0.4865
15,epistemic,0,0.263371,0.736629,0,1.0000
15,epistemic,1,0.336799,0.663201,0,1.0000
15,epistemic,2,0.474001,0.525999,0,1.0000
15,epistemic,3,0.495704,0.504296,0,1.0000
15,epistemic,4,0.623505,0.376495,0,1.0000
15,epistemic,5,0.622164,0.377836,0,1.0000
15,epistemic,6,0.635570,0.364430,0,1.0000
15,epistemic,7,0.637500,0.362500,0,0.4865
16,epistemic,0,0.224289,0.775711,0,1.0000
16,epistemic,1,0.260840,0.739160,0,1.0000
16,epistemic,2,0.450684,0.549316,0,1.0000
16,epistemic,3,0.478954,0.521046,0,1.0000
16,epistemic,4,0.566147,0.433853,0,1.0000
16,epistemic,5,0.566185,0.433815,0,1.0000
16,epistemic,6,0.601744,0.398256,0,1.0000
16,epistemic,7,0.600838,0.399162,0,0.4865
17,epistemic,0,0.243535,0.756465,0,1.0000
17,epistemic,1,0.331873,0.668127,0,1.0000
17,epistemic,2,0.425425,0.574575,0,1.0000
17,epistemic,3,0.472752,0.527248,0,1.0000
17,epistemic,4,0.538935,0.461065,0,1.0000
17,epistemic,5,0.537057,0.462943,0,1.0000
17,epistemic,6,0.588427,0.411573,0,1.0000
17,epistemic,7,0.591984,0.408016,0,0.4865
18,epistemic,0,0.230461,0.769539,0,1.0000
18,epistemic,1,0.304384,0.695616,0,1.0000
18,epistemic,2,0.445361,0.554639,0,1.0000
18,epistemic,3,0.495249,0.504751,0,1.0000
18,epistemic,4,0.588724,0.411276,0,1.0000
18,epistemic,5,0.588770,0.411230,0,1.0000
18,epistemic,6,0.621183,0.378817,0,1.0000
18,epistemic,7,0.621845,0.378155,0,0.4865
19,epistemic,0,0.333147,0.666853,0,1.0000
19,epistemic,1,0.353404,0.646596,0,1.0000
19,epistemic,2,0.438578,0.561422,0,1.0000
19,epistemic,3,0.528886,0.471114,0,1.0000
19,epistemic,4,0.629473,0.370527,0,1.0000
19,epistemic,5,0.629708,0.370292,0,1.0000
19,epistemic,6,0.630620,0.369380,0,1.0000
19,epistemic,7,0.634431,0.365569,0,0.4865
20,epistemic,0,0.251640,0.748360,0,1.0000
20,epistemic,1,0.321918,0.678082,0,1.0000
20,epistemic,2,0.454641,0.545359,0,1.0000
20,epistemic,3,0.486687,0.513313,0,1.0000
20,epistemic,4,0.578946,0.421054,0,1.0000
20,epistemic,5,0.571104,0.428896,0,1.0000
20,epistemic,6,0.597519,0.402481,0,1.0000
20,epistemic,7,0.600766,0.399234,0,0.4865
21,epistemic,0,0.277703,0.722297,0,1.0000
21,epistemic,1,0.306236,0.693764,0,1.0000
21,epistemic,2,0.444540,0.555460,0,1.0000
21,epistemic,3,0.502968,0.497032,0,1.0000
21,epistemic,4,0.598754,0.401246,0,1.0000
21,epistemic,5,0.598952,0.401048,0,1.0000
21,epistemic,6,0.637569,0.362431,0,1.0000
21,epistemic,7,0.640928,0.359072,0,0.4865
22,epistemic,0,0.061499,0.938501,0,1.0000
22,epistemic,1,0.155137,0.844863,0,1.0000
22,epistemic,2,0.338053,0.661947,0,1.0000
22,epistemic,3,0.379896,0.620104,0,1.0000
22,epistemic,4,0.460443,0.539557,0,1.0000
22,epistemic,5,0.459965,0.540035,0,1.0000
22,epistemic,6,0.494844,0.505156,0,1.0000
22,epistemic,7,0.494962,0.505038,0,0.4865
23,epistemic,0,0.291321,0.708679,0,1.0000
23,epistemic,1,0.347052,0.652948,0,1.0000
23,epistemic,2,0.453607,0.546393,0,1.0000
23,epistemic,3,0.501900,0.498100,0,1.0000
